"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2013-Q1","Q1-2013","PC","Percentage","0","Units",,,2.58709358372124,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2013-Q2","Q2-2013","PC","Percentage","0","Units",,,1.64930657152783,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2013-Q3","Q3-2013","PC","Percentage","0","Units",,,0.538770162956877,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2013-Q4","Q4-2013","PC","Percentage","0","Units",,,2.85117686394557,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2014-Q1","Q1-2014","PC","Percentage","0","Units",,,2.92641263325633,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2014-Q2","Q2-2014","PC","Percentage","0","Units",,,-0.830324454250931,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2014-Q3","Q3-2014","PC","Percentage","0","Units",,,-3.63773048473203,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2014-Q4","Q4-2014","PC","Percentage","0","Units",,,-4.39233943209634,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2015-Q1","Q1-2015","PC","Percentage","0","Units",,,-9.5094320492329,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2015-Q2","Q2-2015","PC","Percentage","0","Units",,,-0.998518779489734,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2015-Q3","Q3-2015","PC","Percentage","0","Units",,,1.42955751273242,,
"XTEXVA01","Exports in goods, s.a.","AUT","Austria","GP","Growth previous period","Q","Quarterly","2015-Q4","Q4-2015","PC","Percentage","0","Units",,,-0.702612297483278,,
